Course Number,Course Name,Days,Time,Start/End Date,Location,County,Course Type,Course Description,Status of Section,Book Link
ACC  120  01,Financial Accounting,Mon Wed,9:30 AM - 10:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  02,Financial Accounting,Tue Thur,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  03,Financial Accounting,Mon Wed,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  04,Financial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  05,Financial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  06,Financial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  120  07,Financial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 120 Financial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is a beginning accounting course that introduces the student to basic financial statements and the double entry accounting system. The course includes methods and procedures such as merchandising operations, internal control and cash, accounting systems, accounts and notes receivable, accounting for merchandise inventory, and long-term assets and depreciation methods, liabilities, owner’s equity, and financial statement analysis.",OPEN,Link
ACC  122  01,Managerial Accounting,Tue Thur,11:00 AM - 12:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 122 Managerial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks Building on fundamentals learned in Financial Accounting, this course introduces a business-management approach to the development and use of accounting information to support managerial decision-making in both manufacturing and service organizations. Major topics include cost behavior, cost analysis, pricing, profit planning, and budgeting and control measures. Prerequisite: ACC 120",OPEN,Link
ACC  122  02,Managerial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 122 Managerial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks Building on fundamentals learned in Financial Accounting, this course introduces a business-management approach to the development and use of accounting information to support managerial decision-making in both manufacturing and service organizations. Major topics include cost behavior, cost analysis, pricing, profit planning, and budgeting and control measures. Prerequisite: ACC 120",OPEN,Link
ACC  122  03,Managerial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 122 Managerial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks Building on fundamentals learned in Financial Accounting, this course introduces a business-management approach to the development and use of accounting information to support managerial decision-making in both manufacturing and service organizations. Major topics include cost behavior, cost analysis, pricing, profit planning, and budgeting and control measures. Prerequisite: ACC 120",OPEN,Link
ACC  122  04,Managerial Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 122 Managerial Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks Building on fundamentals learned in Financial Accounting, this course introduces a business-management approach to the development and use of accounting information to support managerial decision-making in both manufacturing and service organizations. Major topics include cost behavior, cost analysis, pricing, profit planning, and budgeting and control measures. Prerequisite: ACC 120",OPEN,Link
ACC  240  01,Intermediate Accounting I,Tue Thur,11:00 AM - 12:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 240 Intermediate Accounting I 3 Credits (3 Lecture 0 Lab 0 Shop) 3 hrs/wk (3 Hrs. Lecture) *15 wks This course begins with a comprehensive review of accounting principles, including the conceptual framework of accounting as prescribed by the Financial Standards Board (FASB) and Generally Accepted Accounting Principles (GAAP).  Other topics include concepts of future and present value, theory underlying revenue recognition practices, internal control procedures for cash, basic alternative inventory valuation methods, as well as recording of investment securities.  Prerequisite: ACC 122 with a grade of C or higher.",OPEN,Link
